종목명,제목,증권사,첨부,작성일,조회수
삼양식품,"수요는 넘치고, 생산은 확대중",대신증권,https://stock.pstatic.net/stock-research/company/2/20250819_company_746267000.pdf,25.08.19,844
아시아나항공,별도 영업이익 흑자전환 성공,하나증권,https://stock.pstatic.net/stock-research/company/57/20250819_company_274599000.pdf,25.08.19,421
우리넷,기초 튼튼하니까 매수하고 기다리면 주가 오..,하나증권,https://stock.pstatic.net/stock-research/company/57/20250819_company_845355000.pdf,25.08.19,543
테스,선단 공정 장비 확대로 실적 상향,하나증권,https://stock.pstatic.net/stock-research/company/57/20250819_company_749362000.pdf,25.08.19,504
나노신소재,2Q25 Review: 영업이익 기준 컨센 상회 실적,유안타증권,https://stock.pstatic.net/stock-research/company/18/20250819_company_662749000.pdf,25.08.19,526
일동제약,"저분자 비만 치료제, 필요 조건은 구비",유안타증권,https://stock.pstatic.net/stock-research/company/18/20250819_company_836858000.pdf,25.08.19,451
디앤디파마텍,ORALINK 확장 가능성,유안타증권,https://stock.pstatic.net/stock-research/company/18/20250819_company_1562000.pdf,25.08.19,434
오상헬스케어,기대되는 겨울철 성수기,유안타증권,https://stock.pstatic.net/stock-research/company/18/20250819_company_435673000.pdf,25.08.19,317
라온시큐어,성장하기 딱 좋은 시기네!,유안타증권,https://stock.pstatic.net/stock-research/company/18/20250819_company_274840000.pdf,25.08.19,361
코미코,"코미코, 미코세라믹스 지분 취득",SK증권,https://stock.pstatic.net/stock-research/company/64/20250819_company_619137000.pdf,25.08.19,491
성일하이텍,2Q25 Review: 바닥을 벗어나는 매출,유진투자증권,https://stock.pstatic.net/stock-research/company/63/20250819_company_429745000.pdf,25.08.19,443
에스티아이,2H25부터 대규모 프로젝트,신한투자증권,,25.08.19,485
원익QnC,하반기 반등 기대 확대,신한투자증권,,25.08.19,427
제이앤티씨,2Q25 Review: 하반기 신사업 기대,유진투자증권,https://stock.pstatic.net/stock-research/company/63/20250819_company_976477000.pdf,25.08.19,389
한솔케미칼,뚜렷한 실적 성장세 대비 저평가,iM증권,https://stock.pstatic.net/stock-research/company/61/20250819_company_306279000.pdf,25.08.19,471
바이넥스,2Q25 Preview: 실적 개선 초입 구간,IBK투자증권,https://stock.pstatic.net/stock-research/company/40/20250819_company_572963000.pdf,25.08.19,448
아모텍,"올해는 전장, 내년은 AI서버",iM증권,https://stock.pstatic.net/stock-research/company/61/20250819_company_971998000.pdf,25.08.19,363
ISC,실적으로 보여준 방향성,신한투자증권,,25.08.19,468
티에스이,새로움이 필요할 때,신한투자증권,,25.08.19,303
한국단자,"미국은 생각보다 많이 약하고, 유럽은 생각보..",SK증권,https://stock.pstatic.net/stock-research/company/64/20250819_company_804885000.pdf,25.08.19,403
트루엔,2Q25 Review: IoT솔루션 해외 진출 추진,유진투자증권,https://stock.pstatic.net/stock-research/company/63/20250819_company_793099000.pdf,25.08.19,284
라온시큐어,2Q25 Review: 사이버 위협 확대 수혜,유진투자증권,https://stock.pstatic.net/stock-research/company/63/20250819_company_825552000.pdf,25.08.19,342
넥센타이어,"NDR 후기: 하반기 기회 요인, 투자의견 상향",키움증권,https://stock.pstatic.net/stock-research/company/39/20250819_company_995593000.pdf,25.08.19,327
오스테오닉,수출 기반의 안정적 성장 궤도 진입,SK증권,https://stock.pstatic.net/stock-research/company/64/20250819_company_918258000.pdf,25.08.19,363
나노,"친환경 선박 엔진이 끌고, 데이터센터가 민다",키움증권,https://stock.pstatic.net/stock-research/company/39/20250819_company_561037000.pdf,25.08.19,423
덴티움,전사적 저평가 해소 전략을 가동해야 할 때,미래에셋증권,https://stock.pstatic.net/stock-research/company/29/20250819_company_390077000.pdf,25.08.19,500
